,Bestellnummer,d1 (mm),d3,d4 (mm),l1 (mm),l2 (mm),l3 (mm),sw (mm),Werkstoff

,DIN 98-ST-16-E,16,M6,10,49,11,5.5,3,Stahl
,DIN 98-ST-20-E,20,M8,13,61,13,6,4,Stahl
,DIN 98-ST-25-E,25,M10,16,75,14,8,5,Stahl
,DIN 98-ST-32-E,32,M12,20,95,21,10.5,6,Stahl
,DIN 98-ST-36-E,36,M16,22,106,26,11,8,Stahl
,DIN 98-AL-16-E,16,M6,10,49,11,5.5,3,Aluminium
,DIN 98-AL-20-E,20,M8,13,61,13,6,4,Aluminium
,DIN 98-AL-25-E,25,M10,16,75,14,8,5,Aluminium
,DIN 98-AL-32-E,32,M12,20,95,21,10.5,6,Aluminium
,DIN 98-AL-36-E,36,M16,22,106,26,11,8,Aluminium
,DIN 98-KT-16-E,16,M6,10,49,11,5.5,3,Kunststoff
,DIN 98-KT-20-E,20,M8,13,61,13,6,4,Kunststoff
,DIN 98-KT-25-E,25,M10,16,75,14,8,5,Kunststoff
,DIN 98-KT-32-E,32,M12,20,95,21,10.5,6,Kunststoff
