,Bestellnummer,d1 (mm),d2,d5 (mm),d6 (mm),h1 (mm),h2 (mm),t (mm),Werkstoff

,GN 3663-27-M3-X,27,M3,10,19,35,9.5,7,Aluminium/Stahl
,GN 3663-27-M4-X,27,M4,10,19,35,9.5,9,Aluminium/Stahl
,GN 3663-27-M5-X,27,M5,10,19,35,9.5,9,Aluminium/Stahl
,GN 3663-27-M6-X,27,M6,10,19,35,9.5,9,Aluminium/Stahl
,GN 3663-34-M3-X,34,M3,10,21,37.5,9.5,7,Aluminium/Stahl
,GN 3663-34-M4-X,34,M4,10,21,37.5,9.5,9,Aluminium/Stahl
,GN 3663-34-M5-X,34,M5,10,21,37.5,9.5,9,Aluminium/Stahl
,GN 3663-34-M6-X,34,M6,10,21,37.5,9.5,9,Aluminium/Stahl
,GN 3663-42-M6-X,42,M6,13.5,27,43.5,11.5,11,Aluminium/Stahl
,GN 3663-42-M8-X,42,M8,13.5,27,43.5,11.5,11,Aluminium/Stahl
,GN 3663-52-M10-X,52,M10,19,32,54,15.5,17,Aluminium/Stahl
,GN 3663-52-M12-X,52,M12,19,32,54,15.5,17,Aluminium/Stahl
,GN 3663-62-M10-X,62,M10,19,33,54,15.5,17,Aluminium/Stahl
,GN 3663-62-M12-X,62,M12,19,33,54,15.5,17,Aluminium/Stahl
