,Bestellnummer,d1 (mm),d2 H8,d3 (mm),d4,h1 (mm),h2 (mm),l (mm),t min (mm),Material

,GN 436.1-24-B5-A-MT,24,B5,22,M4,24,8,12,18,Edelstahl
,GN 436.1-24-B5-B-MT,24,B5,22,M4,24,8,12,18,Edelstahl
,GN 436.1-24-B5-S-MT,24,B5,22,M4,24,8,12,18,Edelstahl
,GN 436.1-24-B6-A-MT,24,B6,22,M4,24,8,12,18,Edelstahl
,GN 436.1-24-B6-B-MT,24,B6,22,M4,24,8,12,18,Edelstahl
,GN 436.1-24-B6-S-MT,24,B6,22,M4,24,8,12,18,Edelstahl
,GN 436.1-28-B6-A-MT,28,B6,26,M4,27,9,13,20,Edelstahl
,GN 436.1-28-B6-B-MT,28,B6,26,M4,27,9,13,20,Edelstahl
,GN 436.1-28-B6-S-MT,28,B6,26,M4,27,9,13,20,Edelstahl
,GN 436.1-28-B8-A-MT,28,B8,26,M4,27,9,13,20,Edelstahl
,GN 436.1-28-B8-B-MT,28,B8,26,M4,27,9,13,20,Edelstahl
,GN 436.1-28-B8-S-MT,28,B8,26,M4,27,9,13,20,Edelstahl
