,Bestellnummer,d1 (mm),d2,d4 (mm),h (mm),t1 (mm),"t2±0,5 (mm)",t3 (mm),Werkstoff

,GN 719.2-16-M6-XX,16,M6,12,25,16,3.5,17,Kunststoff
,GN 719.2-16-B6-XX,16,B6,12,25,16,3.5,17,Kunststoff
,GN 719.2-20-M8-XX,20,M8,14,32,20,3.5,21,Kunststoff
,GN 719.2-20-B8-XX,20,B8,14,32,20,3.5,21,Kunststoff
,GN 719.2-26-M8-XX,26,M8,17,42,30,5,30,Kunststoff
,GN 719.2-26-M10-XX,26,M10,17,42,30,5,30,Kunststoff
,GN 719.2-26-B10-XX,26,B10,17,42,30,5,30,Kunststoff
,GN 719.2-26-B8-XX,26,B8,17,42,30,5,25,Kunststoff
,GN 719.2-34-M10-XX,34,M10,21,54.5,35,8,40,Kunststoff
,GN 719.2-34-M12-XX,34,M12,21,54.5,35,8,40,Kunststoff
,GN 719.2-34-B10-XX,34,B10,21,54.5,35,8,40,Kunststoff
,GN 719.2-34-B12-XX,34,B12,21,54.5,35,8,40,Kunststoff
